Program,Publisher(s),Developer(s),Oct-80,Oct-802,Nov-80,Nov-802,Dec-80,Dec-802,Jan-81,Jan-82,Feb-81,Feb-812,Mar-81,Mar-812,Apr-81,Apr-812,May-81,May-812,Jun-81,Jun-812,Jul-81,Jul-812,Aug-81,Aug-812,Sep-81,Sep-812,Oct-81,Oct-812,Nov-81,Nov-812,Dec-81,Dec-812,Jan-823,Jan-822,Feb-82,Feb-822,Mar-82,Mar-822,Apr-82,Apr-822,May-82,May-822,Jun-82,Jun-822,Jul-82,Jul-822,Aug-82,Aug-822,Sep-82,Sep-822,Oct-82,Oct-822,Nov-82,Nov-822,Dec-82,Dec-822,Jan-83,Jan-832,Feb-83,Feb-832,Mar-83,Mar-832,Apr-83,Apr-832,May-83,May-832,Jun-83,Jun-832,Jul-83,Jul-832,Aug-83,Aug-832,Sep-83,Sep-832,Oct-83,Oct-832,Nov-83,Nov-832,Dec-83,Dec-832,Jan-84,Jan-842,Feb-84,Feb-842,Mar-84,Mar-842,Apr-84,Apr-842,May-84,May-842,Jun-84,Jun-842,Jul-84,Jul-842,Aug-84,Aug-842
Screen Writer II,On-Line Systems,David Kidwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.73,3,90.18,5,95.73,5,56.31,6,84.15,5,58.54,7,57.15,9,45.09,10,24.52,14,28.01,16,24.44,15,17.94,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafox,Broderbund Software,Ed Hobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensible Speller,Sensible Software,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.99,23,20.9,19,31.83,13,23.93,21,28.74,20,21.36,29,24.4,28,37.56,20,18.69,28,25.51,18,19.31,16,,
Serpentine,Broderbund Software,David Snider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04,26,28.88,12,,,18.94,21,30.32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Salad,Beagle Brothers,"Bert Kersey, Mark Simonsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13,23,,,,
Snack Attack,DataMost,Dan Illowsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23,15,88.78,4,84.86,4,62.06,5,83.21,4,95.11,3,62.5,3,62.86,8,70.35,6,60.44,8,35.62,10,13.46,29,35.12,9,48.09,10,21.61,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneakers,Sirius Software,Mark Turmell,,,,,,,,,,,,,,,,,,,,,,,,,32.61,9,18.88,7,27.66,5,44.35,8,57.77,9,53.65,12,25.18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoggle,Broderbund Software,Jun Wada,,,,,,,,,,,,,,,,,55.8,4,47.48,5,19.51,16,47.2,9,36.02,7,14.95,12,26.98,7,41.43,12,29.86,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snooper Troops I,Spinnaker Software,Tom Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38,27,23.92,17,,,,,,,,,,,,,,,23.22,29,,,,,,,,,,
Sorcerer,Infocom,Steve Meretzky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21,30
Space Eggs,Sirius Software,Nasir,,,,,,,,,,,,,,,98.55,1,99.56,1,55.24,3,29.38,7,44.93,12,26.28,12,,,,,,,30.63,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Quarks,Broderbund Software,Chris Jochumson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Raiders,United Software of America,Paul Lutus,,,,,,,,,,,,,,,,,,,25.38,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Warrior,Broderbund Software,Marc Goodman,,,,,,,,,,,,,,,,,,,,,,,29.57,22,12.65,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Blazer,Broderbund Software,Tony Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73,14,62.9,6,51.37,8,55.06,6,34.08,14,38.48,11,45.02,11,23.1,19,20.68,18,17.56,26,25.79,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Cruiser,Sirius Software,Nasir,,,,,52.39,3,70.05,3,34.9,8,11.59,28,14.01,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Thief,Cavalier Computing,Jim Nitchals,,,,,,,,,,,,,,,,,,,,,,,,,17.03,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Warrior,Automated Simulations,uncredited,,,,,,,,,,,,,12.17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starcross,Infocom,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,10,18.94,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickybear ABC,Xerox Education Publications,"Jack Rice, Janie Worthington, Richard Hefter, Spencer Howe, Steve Worthington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11,20,,,,,,,,,,,,,,,,,,,,,,,,
Story Machine,Spinnaker Software,DesignWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Disk Copy (III),Sensible Software,Charles Hartley,,,,,,,,,,,,,,,,,,,12.84,30,,,,,,,,,,,,,26.37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Invader,Creative Computing Software,M. Hata,40.31,16,,,23.52,15,44.98,7,41.66,5,13.48,20,23.23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superscribe II,On-Line Systems,David Kidwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.84,23,49.24,14,89.74,2,69.25,3,41.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super-Text 40-56-70,MUSE,Ed Zaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperText II,MUSE,Ed Zaron,,,,,14.88,29,,,,,,,,,,,19.09,21,14.03,28,,,,,,,,,,,,,,,,,,,,,24.3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super-Text Pro,MUSE,Ed Zaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspended,Infocom,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12,28,20.43,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Swashbuckler,DataMost,Paul Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.91,20,29.16,19,30.65,12,22.63,25,19.05,29,19.47,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Advantage,Continental Software,"Harry Coons, Henry Hilton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69,28,,,,,,
Tax Preparer,Howard Software,James Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59,17,31.7,22,,,60.55,7,,,,,,,,,,,,,,,,,,,,,,,18.68,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxman,H.A.L. Labs,Brian Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46,20,25.3,16,27.66,21,29.15,17,21.09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of Apshai,Automated Simulations,uncredited,46.56,9,23.58,16,22.92,16,28.76,18,17.09,25,12.77,23,15.12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Arcade Machine,Broderbund Software,"Chris Jochumson, Doug Carlston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.82,27,45.24,8,56.74,8,28.58,13,38.33,11,35.23,14,,,28.68,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Complete Graphics System,Penguin Software,Marc Pelczarski,,,,,,,,,,,,,,,,,,,,,,,25.59,27,13.14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Controller,Apple Computer,uncredited,22.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Incredible Jack,Business Solutions,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.33,17,,,,,,,,,,,,,,
The Mask of the Sun,Ultrasoft,"Alan Clark, Chris Anson, Larry Franks, Margaret Anson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79,16,23.7,27,15.97,27,22.02,19,,,18.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prisoner,Edu-Ware Services,David Mullich,,,,,,,,,,,,,,,15.47,23,19.09,21,12.84,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Quest,Penguin Software,"Dallas Snell, Joe Toler, Joel Ellis Rea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74,20,,,,,,,,,,,,,,
Threshold,On-Line Systems,"Ken Williams, Warren Schwader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.13,22,39.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,On-Line Systems,"Ken Williams, Roberta Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22,25,,,17.86,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Track Attack,Broderbund Software,Chris Jochumson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.58,17,23.44,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranquility Base,Stoneware,uncredited,24.06,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcend,SSM,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.77,24,27.58,17,19.73,23,13.46,29,23.76,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transend 2,SSM,"Bob Kniskern, Tim Dygert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tubeway,DataMost,Arthur Van Brink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday Night Football,Shoestring Software,uncredited,28.44,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twerps,Sirius Software,Dan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83,15,23.44,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typing Tutor,Microsoft,Image Producers,51.25,8,25.12,13,22.03,21,,,24.57,18,17.26,15,31.71,9,33.23,12,29.37,14,14.63,27,23.7,11,27.3,26,13.63,23,7.87,28,14.51,22,36.58,17,79.87,6,,,24.28,26,,,18.05,30,,,,,,,,,,,,,,,,,,,,,34.68,12,27.71,13,24.91,16,25.58,14,17.76,27,,,27.1,15,36.32,15,29.51,19,30.44,16,48.58,11,38.62,19,43.62,13,29.56,13,19.31,15,26.85,14
Ultima,California Pacific,Lord British,,,,,,,,,,,,,,,,,,,,,16.79,22,49.48,8,33.1,8,14.95,12,24.94,9,24.92,26,,,33.65,19,,,,,,,,,,,,,15.82,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultima II,Sierra On-Line,Lord British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.79,7,52.61,8,26.59,12,37.35,10,19.65,20,33.38,13,11.62,29,,,,,,,,,21.23,26,25.36,24,,,,,,,,,,,,
Utility City,Beagle Brothers,Bert Kersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77,25,26.08,22,,,,,,,17.32,29,20.21,27,,,,,,,,,,,,,,,,,,,17.94,26,11.16,30,,,,,,,,,,,,,,,,,,,,,,,,
VisiCalc,Personal Software,"Dan Bricklin, Robert Frankston, Software Arts Inc.",94.06,1,99.44,1,97.34,1,98.07,1,69.44,2,68.56,2,88.86,2,79.36,2,95.45,2,84.21,2,46.66,4,87.01,3,92.96,1,95.6,1,99.97,1,97.76,1,213.62,1,185.81,1,112.42,1,201.2,1,171.81,1,133.32,1,173.2,2,150.43,2,150.49,2,171.82,1,152.92,1,116.73,2,119.18,1,131.99,2,130.06,2,114.06,2,98.76,2,83.21,3,70.7,4,97.72,2,98.44,2,67.11,4,80.88,4,51.52,11,28.04,18,30.56,24,,,22.12,25,,,,,14.21,30
VisiCalc: Advanced Version,VisiCorp,"Dan Bricklin, Robert Frankston, Software Arts Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,14,,,,,,
VisiDex,Personal Software,Peter Jennings,,,,,,,,,,,,,,,,,,,,,13.09,29,40.38,17,22.39,17,9.64,25,14.74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisiFile,Personal Software,"Ben Herman, Colin Jameson, Creative Computer Applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.73,9,39.6,22,72.18,6,44.52,11,47.27,11,44.08,10,,,23.19,23,27.99,19,,,25.51,14,26.93,11,,,,,21.14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisiTrend/VisiPlot,Personal Software,"Micro Finance Systems, Mitch Kapor",,,,,,,,,,,,,,,,,,,,,13.83,27,44.36,14,25.8,13,11.61,18,22.9,12,55.35,6,39.93,21,59.01,10,47.67,9,42.58,14,37.83,13,19.94,19,28.77,20,29.93,16,19.06,25,25.51,14,26.45,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warp Factor,Strategic Simulations,Paul Murray,,,,,,,,,,,,,,,40.11,7,39.65,9,25.98,15,13.83,27,28.44,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilderness Campaign,Synergistic Software,Bob Clardy,37.81,17,21.53,19,14.29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wizardry,Sir-tech,"Andrew Greenberg, Robert Woodhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35,11,35.61,19,45.75,15,76.57,5,95.34,2,71.88,5,80.87,4,60.71,4,87.16,5,94.07,4,98.57,4,64.49,5,58.19,7,63.35,6,99.32,3,75.15,5,45.71,8,71.37,5,53.66,8,69.26,6,30.69,13,39.21,12,28.32,12,25.81,16,40.59,12,81.82,4,44.19,6,60.9,8,43.93,16,40.5,16,37.08,10,23.26,12,19.48,21
Word Handler,Silicon Valley Systems,Leonard Elekman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,26,15.82,27,43.32,9,22.12,15,50.27,8,34.15,13,,,25.76,13,24.01,21,,,,,,,,,,,23.23,20,,,,,,,,,,,,,,,,,,
Word Juggler IIe,Quark,Tim Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.29,15,25.86,22,33.89,12,25.56,9,,
WordStar,Micro Pro,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55,14,28.69,27,27.31,28,20.24,30,37.5,17,32.28,16,,,30.45,18,23.71,23,25.96,18,,,13.95,27,,,,,21.14,23,17.04,24,18.68,26,,,,,20.69,16,21.75,21,26.97,14,24.09,19,,,,,,,,,,,,,,,,,,
Zaxxon,DataSoft,John Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.68,2,89.45,4,71.82,6,56.35,10,37.6,14,51,12,42.59,8,44.07,12,43.23,17,47.67,11,,,,,,
Zoom Grafix,Phoenix Software,Dav Holle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.93,27,,,37.83,13,15.77,28,,,,,,,16.36,30,,,,,,,,,,,,,,,,,,,,,,,18.06,27,,,,,,,,,32.24,24,,,,,18.95,17,,
Zork,Personal Software,Infocom,,,,,,,,,,,,,,,60.16,4,31.72,11,37.92,10,17.04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.24,20,18.25,23,30.32,20,21.61,21,20.78,21,26.68,19,14.61,30,,,13.72,23,18.38,24,17.53,21,21.94,21,17.94,28,24.08,24,32.71,12,38.15,19,33.66,22,48.29,10,27.11,15,18.17,21,18.43,23
Zork II,Infocom,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.39,30,,,,,,,16.39,27,,,,,,,,,13.95,27,,,20.91,28,,,13.71,27,,,,,,,,,,,,,,,,,,,28.04,19,33.88,21,,,,,,,,,,
Zork III,Infocom,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.63,20,19.51,30,,,,,,,,,,,,,,,,,,,,,,,27.5,21,32.22,23,,,,,,,,,,
