Program,Publisher(s),Developer(s),Oct-80,Oct-802,Nov-80,Nov-802,Dec-80,Dec-802,Jan-81,Jan-82,Feb-81,Feb-812,Mar-81,Mar-812,Apr-81,Apr-812,May-81,May-812,Jun-81,Jun-812,Jul-81,Jul-812,Aug-81,Aug-812,Sep-81,Sep-812,Oct-81,Oct-812,Nov-81,Nov-812,Dec-81,Dec-812,Jan-823,Jan-822,Feb-82,Feb-822,Mar-82,Mar-822,Apr-82,Apr-822,May-82,May-822,Jun-82,Jun-822,Jul-82,Jul-822,Aug-82,Aug-822,Sep-82,Sep-822,Oct-82,Oct-822,Nov-82,Nov-822,Dec-82,Dec-822,Jan-83,Jan-832,Feb-83,Feb-832,Mar-83,Mar-832,Apr-83,Apr-832,May-83,May-832,Jun-83,Jun-832,Jul-83,Jul-832,Aug-83,Aug-832,Sep-83,Sep-832,Oct-83,Oct-832,Nov-83,Nov-832,Dec-83,Dec-832,Jan-84,Jan-842,Feb-84,Feb-842,Mar-84,Mar-842,Apr-84,Apr-842,May-84,May-842,Jun-84,Jun-842,Jul-84,Jul-842,Aug-84,Aug-842
Autobahn,Sirius Software,Nasir,,,,,,,,,,,,,,,,,,,23.88,17,20.74,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec,DataMost,Paul Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.48,15,35.2,12,49.79,9,24.52,14,32.68,13,24.44,15,17.44,29,,,,,,,,,,,,,,,,,,,,,,,,,,
B-1 Nuclear Bomber,Avalon Hill,uncredited,,,21.02,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bag of Tricks,Quality Software,"Don Worth, Pieter Lechner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.93,17,22.02,18,43.58,10,24.1,21,,,,,,,18.25,23,,,,,,,,,,,,,,,,,14.5,27,18.49,26,,,,,,,,,,,,,,,,,,
Bandits,Sirius Software,"Benny Ngo, Tony Ngo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15,11,25.65,20,21.09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Street Speller,Broderbund Software,"Bank Street College of Education, Sensible Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,26,24.22,15
Bank Street Writer,Broderbund Software,"Bank Street College of Education, Gene Kuzmiak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.49,11,67.26,7,39.53,10,58.82,8,88.35,3,61.52,7,97.43,2,97.87,2,54.74,4,78.43,3,57.75,9,66.37,7,64.19,5,43.17,3,80.09,3
Barron's SAT,Barron's,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17,16
Beagle Basic,Beagle Brothers,Mark Simonsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21,20,,,,,,,,,,,19.93,25,,,,
Beer Run,Sirius Software,Mark Turmell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18,13,27.31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
